Año,Municipio,Subregión,Sexo,Enfermedades Transmisibles,Neoplasias,Enfermedades Sistema Circulatorio,Causas Externas,Todas las demás enfermedades,"Signos, síntomas y afecciones mal definidas",Enfermedades originadas en el periodo perinatal
2021,Salamina,Río,Mujer,35.19,70.39,211.16,0,52.79,17.6,0
2018,San Sebastián de Buenavista,Sur,Total,23.98,37.42,116.22,40.37,144.39,5.21,0
2019,San Sebastián de Buenavista,Sur,Total,21.32,45.19,190.12,24.94,90.34,0,0
2020,San Sebastián de Buenavista,Sur,Total,4.48,56.17,141.02,24.86,62.64,11.73,0
2021,San Sebastián de Buenavista,Sur,Total,76.14,52.35,195.12,52.35,99.94,4.76,0
2018,San Sebastián de Buenavista,Sur,Hombre,36.43,48.04,153.23,78.14,177.11,0,0
2019,San Sebastián de Buenavista,Sur,Hombre,22.29,58.64,173.04,37.51,108.75,0,0
2020,San Sebastián de Buenavista,Sur,Hombre,8.53,68.97,143.51,40.75,51.53,8.53,0
2021,San Sebastián de Buenavista,Sur,Hombre,83.99,65.33,186.65,83.99,121.33,0,0
2018,San Sebastián de Buenavista,Sur,Mujer,10.13,26.95,79.45,0,106.97,10.13,0
2019,San Sebastián de Buenavista,Sur,Mujer,20.78,30.52,201.2,11.94,71.4,0,0
2020,San Sebastián de Buenavista,Sur,Mujer,0,42.89,136.56,8.44,73.81,14.78,0
2021,San Sebastián de Buenavista,Sur,Mujer,67.97,38.84,203.92,19.42,77.68,9.71,0
2018,San Zenón,Sur,Total,14.7,12.08,87.96,22,96.33,19.68,0
2019,San Zenón,Sur,Total,16.6,48.21,74.58,19.7,55.61,15.62,0
2020,San Zenón,Sur,Total,26.06,96.35,81.63,8.24,67.78,8.67,0
2021,San Zenón,Sur,Total,39.58,23.75,95,31.67,95,0,0
2018,San Zenón,Sur,Hombre,0,22.14,81.32,23.82,187.28,21.45,0
2019,San Zenón,Sur,Hombre,17.55,0,101.47,35.53,51.9,0,0
2020,San Zenón,Sur,Hombre,30.61,90.7,104.65,16.47,97.77,16.13,0
2021,San Zenón,Sur,Hombre,46.64,0,93.28,46.64,62.19,0,0
2018,San Zenón,Sur,Mujer,30.97,0,95.68,19.43,0,16.06,0
2019,San Zenón,Sur,Mujer,13.98,103.68,42.49,0,58.82,32.72,0
2020,San Zenón,Sur,Mujer,22.69,106.26,52.61,0,34.83,0,0
2021,San Zenón,Sur,Mujer,32.26,48.39,96.77,16.13,129.03,0,0
2018,Santa Ana,Sur,Total,19.97,25.06,163.63,29.39,120.05,0,0
2019,Santa Ana,Sur,Total,7.91,54.5,176.31,47.04,93.98,3.26,0
2020,Santa Ana,Sur,Total,18.17,59.54,87.84,19.31,78.69,0,0
2021,Santa Ana,Sur,Total,117.09,60.43,113.31,33.99,109.54,0,5.78
2018,Santa Ana,Sur,Hombre,37.61,29,188.63,22.38,96.92,0,0
2019,Santa Ana,Sur,Hombre,0,59.08,134.26,64.51,81.6,0,0
2020,Santa Ana,Sur,Hombre,15.01,72.21,104.08,37.08,79.33,0,0
2021,Santa Ana,Sur,Hombre,160.5,43.77,109.43,36.48,87.55,0,5.62
2018,Santa Ana,Sur,Mujer,0,21.1,135.96,36.14,146.52,0,0
2019,Santa Ana,Sur,Mujer,16.99,49.53,228.38,26.63,109.5,6.7,0
2020,Santa Ana,Sur,Mujer,22.57,46.27,69.95,0,77.53,0,0
2021,Santa Ana,Sur,Mujer,70.49,78.32,117.48,31.33,133.15,0,5.95
2018,Santa Bárbara de Pinto,Sur,Total,35.6,54.24,104.11,10.72,57.74,0,0
2019,Santa Bárbara de Pinto,Sur,Total,42.64,38.11,124.15,7.71,54.76,0,0
2020,Santa Bárbara de Pinto,Sur,Total,29.24,0,124.31,0,92.74,41.56,0
2021,Santa Bárbara de Pinto,Sur,Total,52.31,34.87,122.06,26.16,95.9,26.16,0
2018,Santa Bárbara de Pinto,Sur,Hombre,39.63,78.07,120.07,11.38,58.93,0,0
2019,Santa Bárbara de Pinto,Sur,Hombre,0,0,103.36,0,52.13,0,0
2020,Santa Bárbara de Pinto,Sur,Hombre,54.63,0,181.17,0,45.69,49.89,0
2021,Santa Bárbara de Pinto,Sur,Hombre,50.97,33.98,203.87,50.97,101.94,16.99,0
2018,Santa Bárbara de Pinto,Sur,Mujer,31.85,19.11,93.3,9.62,61.24,0,0
2019,Santa Bárbara de Pinto,Sur,Mujer,85.43,83.63,147.86,16,57.14,0,0
2020,Santa Bárbara de Pinto,Sur,Mujer,0,0,61.51,0,146.12,30.24,0
2021,Santa Bárbara de Pinto,Sur,Mujer,53.72,35.82,35.82,0,89.54,35.82,0
2018,Sitionuevo,Río,Total,26.32,30.55,108.94,21.38,56.98,2.74,0
2019,Sitionuevo,Río,Total,33.79,49.54,174.05,83.22,60.6,8.55,0
2020,Sitionuevo,Río,Total,35.8,40.02,203.37,57.51,104.17,30.52,0
2021,Sitionuevo,Río,Total,70.92,64.16,145.21,27.02,84.43,16.89,12.35
2018,Sitionuevo,Río,Hombre,24.48,37.77,128.53,39.86,59.76,5.35,0
2019,Sitionuevo,Río,Hombre,30.63,78.99,195.67,132.67,62.36,0,0
2020,Sitionuevo,Río,Hombre,30,38.26,244.53,91.31,157.88,29,0
2021,Sitionuevo,Río,Hombre,98.41,72.16,183.69,39.36,91.85,13.12,19.32
